id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Neon Pulse,Synth Wave,electronic,energetic,0.87,138,0.72,0.85,0.08
12,Classical Sunset,Mozart Revival,classical,peaceful,0.25,75,0.68,0.32,0.95
13,Island Vibes,reggae collective,reggae,relaxed,0.58,95,0.74,0.68,0.72
14,Urban Beats,MC Flow,hip-hop,energetic,0.72,110,0.61,0.79,0.15
15,Midnight Blues,Blues Wanderer,blues,melancholic,0.42,85,0.45,0.52,0.88
16,Dusty Roads,Country Hearts,country,nostalgic,0.64,100,0.66,0.71,0.81
17,Forest Walk,Folk Harmony,folk,peaceful,0.35,70,0.62,0.48,0.87
18,Metal Storm,Iron Fists,metal,intense,0.95,160,0.38,0.71,0.05
19,Soul Rising,Soul Voices,soul,uplifting,0.68,105,0.82,0.77,0.64
20,K-Pop Dreams,Star Pulse,K-pop,energetic,0.85,128,0.79,0.88,0.12
